full_name,team,Position,Price,round,opponent_team,was_home,minutes,total_points,element,fixture,kickoff_time,team_h_score,team_a_score,modified,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
matteo_ruggeri,Aston Villa,DF,4.5,5,Spurs,False,90,3,596,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,2,0,0,0,0,0,0,0,11,19.4,11.5,1.0,3.2,13,9,0,13,1,0.03,0.01,0.04,1.56,45,-395,9272,779,1174
zion_suzuki,Aston Villa,GK,5.0,5,Spurs,False,90,2,597,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,2,0,0,0,0,0,5,0,17,36.2,0.0,0.0,3.6,3,12,0,0,1,0.00,0.00,0.00,1.56,50,-2224,196011,16586,18810
triston_rowe,Aston Villa,DF,4.0,5,Spurs,False,0,0,606,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,223,18299,1822,1599
luka_lynch,Aston Villa,MD,4.5,5,Spurs,False,0,0,607,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-1367,7636,0,1367
aaron_wan-bissaka,Aston Villa,DF,4.5,5,Spurs,False,45,1,611,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,6,10.4,1.4,0.0,1.2,4,0,2,6,1,0.00,0.01,0.01,0.64,45,2283,23660,4595,2312
leon_goretzka,Aston Villa,MD,5.9,5,Spurs,False,0,0,618,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,59,-1317,2971,47,1364
taylor_harwood-bellis,Aston Villa,DF,4.5,5,Spurs,False,0,0,630,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,28,1743,379,351
ibrahim_mbaye,Aston Villa,MD,6.0,5,Spurs,False,6,1,631,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,2,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.78,60,1194,7570,2665,1471
james_wright,Aston Villa,GK,4.0,5,Spurs,False,0,0,667,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,0,0,0
đorđe_petrović,Bournemouth,GK,4.5,5,Liverpool,True,90,2,57,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,1,0,0,0,0,0,2,0,12,18.2,0.0,0.0,1.8,0,12,0,0,1,0.00,0.00,0.00,1.65,45,-19421,325591,7119,26540
fraser_forster,Bournemouth,GK,4.0,5,Liverpool,True,0,0,58,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,6886,391157,22505,15619
will_dennis,Bournemouth,GK,4.0,5,Liverpool,True,0,0,59,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-1059,13258,0,1059
james_hill,Bournemouth,DF,5.5,5,Liverpool,True,90,4,60,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,1,0,0,0,0,0,0,0,15,43.6,5.1,0.0,4.9,11,3,4,15,1,0.00,0.02,0.02,1.65,55,-8309,80776,3321,11630
adrien_truffert,Bournemouth,DF,5.5,5,Liverpool,True,90,2,61,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,1,0,0,0,0,0,0,0,6,12.6,11.8,5.0,2.9,5,3,2,7,1,0.02,0.06,0.08,1.65,55,-27978,334232,6520,34498
