date,round,home,away,opening_line,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
2026-03-28,14,Stormers,Edinburgh,,-17.5,33,14,7.0,1.0,13.2,3.0,-4.0,-1.7,-3,Edinburgh,L
2026-03-28,14,Zebre,Ulster,,11.5,12,28,1.0,-5.0,-17.3,4.0,3.0,3.9,1,,
2026-04-17,15,Dragons,Bulls,,14.5,7,47,7.0,7.0,-11.6,-1.0,2.0,15.3,1,,
2026-04-17,15,Edinburgh,Zebre,,-16.5,31,30,-12.0,-5.0,-2.7,0.0,-6.0,-15.7,-2,,
2026-04-17,15,Ulster,Leinster,,-4.5,21,29,0.0,4.0,1.7,2.0,-4.0,12.0,-4,Leinster,W
2026-04-18,15,Benetton,Munster,,3.0,15,45,7.0,-4.0,-8.8,1.0,-4.0,6.5,-1,,
2026-04-18,15,Lions,Glasgow,,-6.5,54,12,-7.0,4.0,1.6,-7.0,1.0,3.5,-1,,
2026-04-18,15,Ospreys,Sharks,,-1.0,21,17,1.0,1.0,-10.1,-1.0,-4.0,10.1,-1,,
2026-04-18,15,Scarlets,Cardiff,,-2.0,24,28,-2.0,4.0,-7.2,1.0,2.0,-1.5,-3,Cardiff,W
2026-04-18,15,Stormers,Connacht,,-20.5,24,33,12.0,2.0,11.2,-1.0,0.0,-4.3,0,,
2026-04-24,16,Cardiff,Ospreys,,-1.5,24,21,-4.0,3.0,-7.1,-10.0,2.0,-4.5,-1,,
2026-04-24,16,Edinburgh,Sharks,,4.5,33,28,2.0,-6.0,-0.6,10.0,-5.0,1.8,1,,
2026-04-24,16,Zebre,Dragons,,-2.5,18,19,-2.0,-5.0,-12.6,4.0,6.0,-8.8,-1,,
2026-04-25,16,Benetton,Leinster,,13.0,29,26,8.0,-5.0,-6.9,-8.0,-3.0,8.8,1,,
2026-04-25,16,Lions,Connacht,,-16.0,33,21,-2.0,5.0,4.8,3.0,1.0,-1.3,-3,Connacht,W
2026-04-25,16,Munster,Ulster,,-23.5,41,14,-8.0,-3.0,1.0,8.0,3.0,6.6,-1,,
2026-04-25,16,Scarlets,Bulls,,13.5,21,23,4.0,3.0,-8.9,-4.0,3.0,10.7,1,,
2026-04-25,16,Stormers,Glasgow,,-7.5,48,12,-3.0,1.0,13.4,2.0,0.0,3.7,-2,,
2026-05-08,17,Glasgow,Cardiff,,-15.5,40,17,11.0,-1.0,6.1,6.0,4.0,-6.0,1,,
2026-05-08,17,Ulster,Stormers,,1.0,38,38,7.0,2.0,-1.8,-11.0,2.0,9.7,1,,
2026-05-09,17,Bulls,Zebre,,-33.5,54,19,4.0,2.0,11.1,0.0,-6.0,-14.7,-2,,
2026-05-09,17,Connacht,Munster,,-4.5,26,7,7.0,2.0,-4.5,-7.0,-2.0,10.2,-1,,
2026-05-09,17,Dragons,Edinburgh,,1.5,15,24,0.0,7.0,-10.6,-1.0,-5.0,-3.6,-2,,
2026-05-09,17,Leinster,Lions,,-12.5,31,7,-3.0,-4.0,9.0,-7.0,4.0,5.9,1,,
2026-05-09,17,Ospreys,Scarlets,,-6.0,27,20,-6.0,1.0,-2.8,-4.0,4.0,-8.0,-1,,
2026-05-09,17,Sharks,Benetton,,-10.5,46,7,1.0,-6.0,5.2,3.0,-4.0,-5.1,-1,,
2026-05-15,18,Cardiff,Stormers,,8.0,22,16,-4.0,3.0,-6.0,4.0,1.0,7.3,-3,Stormers,L
2026-05-15,18,Edinburgh,Connacht,,4.5,5,26,3.0,-4.0,-5.2,-8.0,3.0,0.8,3,Edinburgh,L
2026-05-15,18,Ulster,Glasgow,,8.0,22,26,-4.0,3.0,-1.0,4.0,0.0,4.9,-2,,
2026-05-16,18,Bulls,Benetton,,-25.5,45,19,8.0,3.0,12.4,9.0,-5.0,-4.0,-3,Benetton,L
2026-05-16,18,Leinster,Ospreys,,-21.5,68,14,2.0,-3.0,12.1,3.0,2.0,-3.8,1,,
2026-05-16,18,Munster,Lions,,-7.0,24,17,8.0,-3.0,6.1,-2.0,3.0,6.5,3,Munster,
2026-05-16,18,Scarlets,Dragons,,-5.0,35,35,-3.0,3.0,-5.9,-3.0,6.0,-11.0,1,,
2026-05-16,18,Sharks,Zebre,,-23.5,54,19,-9.0,-5.0,2.5,-8.0,-7.0,-15.6,-1,,
2026-05-29,19,Glasgow,Connacht,,-13.0,33,21,0.0,-1.0,7.6,-5.0,4.0,2.7,2,,
2026-05-30,19,Bulls,Munster,,-15.5,45,14,1.0,4.0,13.4,-5.0,-3.0,7.5,-1,,
2026-05-30,19,Leinster,Lions,,-16.5,59,10,-5.0,-2.0,11.3,5.0,3.0,6.4,-1,,
2026-05-30,19,Stormers,Cardiff,,-15.5,44,21,6.0,0.0,7.5,-6.0,4.0,-5.2,2,,
2026-06-06,20,Glasgow,Bulls,,-1.5,21,22,0.0,-2.0,7.6,-4.0,5.0,13.4,2,,
2026-06-06,20,Leinster,Stormers,,-15.0,20,11,-5.0,-1.0,11.3,1.0,1.0,7.5,-1,,
2026-06-19,21,Leinster,Bulls,,-4.5,36,7,-2.0,-2.0,11.3,2.0,6.0,13.4,-1,,
